입주형태통합코드,자산,부채,경상소득
2,520500,4400,10167
2,6627,135,5597
2,29996,13000,10423
2,22620,18900,3655
2,31712,19000,4563
2,9550,6700,4233
2,10380,10000,2660
2,13320,0,4415
2,135830,0,12576
2,870,0,1055
2,447380,36000,17122
2,10020,0,3014
2,96500,25000,5100
2,94876,25500,7727
2,7800,0,4482
2,2510,0,4380
2,581,0,1274
2,6560,0,567
2,44000,6400,9850
2,28175,0,4389
2,23900,14200,6486
2,13974,3326,3685
2,7150,300,3553
2,224788,21000,22442
2,10200,0,2773
2,31760,0,6317
2,30300,0,13574
2,1530,0,1432
2,35337,8000,10171
2,26250,0,2533
2,16322,3612,3277
2,62179,0,19664
2,92900,39200,5757
2,76948,23600,7087
2,32310,20000,5940
2,16600,0,629
2,31500,0,10097
2,8760,3000,1501
2,44590,18000,5288
2,94035,15000,7939
2,5340,0,5568
2,21080,5940,5640
2,69694,12830,10964
2,204340,195800,14493
2,65150,15000,10637
2,19400,8000,3815
2,34516,0,1694
2,139500,5000,5006
2,40850,8500,15292
2,28544,7600,10474
2,35848,0,2464
2,2045,0,1392
2,18700,9000,7925
2,27930,18400,12821
2,174,0,822
2,71812,8500,8931
2,124000,73000,10408
2,43910,0,14414
2,10680,0,3811
2,14946,0,4920
2,33200,24000,3506
2,546855,120000,35656
2,32065,0,2300
2,20815,9000,6246
2,9013,0,1239
2,10824,200,3040
2,301,0,1319
2,40710,0,10120
2,1750,0,904
2,17167,9900,6608
2,31798,17000,7912
2,11661,5790,2900
2,8135,0,2710
2,3360,0,2260
2,19570,0,8582
2,20170,0,2721
2,23240,1900,4548
2,20460,9000,8769
2,28830,20200,9349
2,21860,10000,6957
2,12600,0,12743
2,42402,0,5931
2,90330,0,9194
2,16500,370,6102
2,38790,0,3156
2,10200,10000,2609
2,41360,2000,9357
2,19154,8000,5561
2,7550,0,4022
2,132868,39000,30570
2,88210,30000,4484
2,308,0,937
2,10653,0,4692
2,44500,1900,7841
2,21020,0,6566
2,38030,0,5788
2,10700,0,6200
2,28160,0,15375
2,46960,400,6659
2,152825,80100,16509
